complexity,loc,lang_type,maint_type,skill,age,interdependence,team_size,exp,def_density,def_severity,churn,change_req,test_cov,doc_quality,norm_complexity,norm_loc,norm_change_req,norm_test_cov,norm_doc_quality,cost
36,16395,c#,adaptive,4,2,low,2,senior,9.841188838262372,low,62.4942275107395,39,73.07910492970957,10,0.44871794871794873,0.3197617890131259,0.39,0.32542817661184364,1.0,7515.7272258255625
1,1460,dart,adaptive,7,6,low,7,expert,7.362539479604622,low,9.658868249453223,96,77.6996525467215,5,0.0,0.01723788689029331,0.96,0.4412640507599858,0.5,5823.826010075931
8,38758,java,adaptive,1,3,high,4,senior,7.74251147700671,high,95.17655161423268,56,85.87786833349222,2,0.08974358974358974,0.7727475287635716,0.56,0.6462896999156925,0.2,9415.138820359225
52,45332,java,adaptive,7,4,high,2,junior,6.562029803736066,low,79.0773063732034,57,79.76502964565083,4,0.6538461538461539,0.9059107113919949,0.57,0.49304249382140614,0.4,14933.443147025724
79,11884,java,adaptive,8,3,high,6,expert,4.716631827851603,low,37.39278697067838,90,84.81115268403371,1,1.0,0.22838680926916222,0.9,0.6195474282274642,0.1,15238.98326577162
47,6865,javascript,adaptive,5,0,high,9,junior,5.716276933611654,low,56.281261095363,98,81.76800008454512,6,0.5897435897435898,0.12672176308539945,0.98,0.5432564188609346,0.6,10690.240847920244
56,17450,php,adaptive,2,5,low,9,junior,0.46402886015125655,high,4.732453013642135,15,89.59185487744396,2,0.7051282051282052,0.3411319073083779,0.15,0.7393983341193812,0.2,8903.093004805849
14,37794,java,adaptive,5,6,medium,8,senior,6.239595094320142,low,4.122781399906039,27,88.2374647084648,0,0.16666666666666666,0.7532207097715119,0.27,0.7054441403385995,0.0,8652.502437418589
28,22562,php,adaptive,6,3,medium,3,senior,6.260981019870467,medium,25.07983351119627,97,81.36759567234478,7,0.34615384615384615,0.4446807648679306,0.97,0.5332183889682799,0.7,10581.701836208924
78,47791,javascript,perfective,2,1,medium,3,junior,8.912007974018096,low,68.97016423646232,0,87.15612083438828,7,0.9871794871794872,0.955720304650786,0.0,0.6783351430311771,0.7,13355.366967185719
