complexity,loc,lang_type,maint_type,skill,age,interdependence,team_size,exp,def_density,def_severity,churn,change_req,test_cov,doc_quality,cost
36,16395,c#,adaptive,4,2,low,2,senior,9.841188838262372,low,62.4942275107395,39,73.07910492970957,10,4881.315066596267
1,1460,dart,adaptive,7,6,low,7,expert,7.362539479604622,low,9.658868249453223,96,77.6996525467215,5,2718.4877375782844
8,38758,java,adaptive,1,3,high,4,senior,7.74251147700671,high,95.17655161423268,56,85.87786833349222,2,9932.022983049379
52,45332,java,adaptive,7,4,high,2,junior,6.562029803736066,low,79.0773063732034,57,79.76502964565083,4,11128.847307954054
79,11884,java,adaptive,8,3,high,6,expert,4.716631827851603,low,37.39278697067838,90,84.81115268403371,1,4759.047578408858
47,6865,javascript,adaptive,5,0,high,9,junior,5.716276933611654,low,56.281261095363,98,81.76800008454512,6,3773.164029586029
56,17450,php,adaptive,2,5,low,9,junior,0.46402886015125655,high,4.732453013642135,15,89.59185487744396,2,4749.654192840714
14,37794,java,adaptive,5,6,medium,8,senior,6.239595094320142,low,4.122781399906039,27,88.2374647084648,0,9030.74408525846
28,22562,php,adaptive,6,3,medium,3,senior,6.260981019870467,medium,25.07983351119627,97,81.36759567234478,7,6887.013686986454
78,47791,javascript,perfective,2,1,medium,3,junior,8.912007974018096,low,68.97016423646232,0,87.15612083438828,7,10500.329035632762
2,44731,c#,corrective,6,5,medium,2,senior,5.056563574302194,medium,85.21477478000116,40,94.94238409090451,2,10667.956569613978
26,16623,c#,perfective,6,7,medium,5,senior,0.7714437408606101,high,55.91858799798484,47,77.29085151152674,6,5220.524510291324
14,41690,java,perfective,1,7,medium,4,senior,3.061959204820812,medium,53.21327395823524,30,76.51052290995175,8,9994.527636906925
59,2285,javascript,corrective,1,1,medium,7,expert,6.556294121143175,high,40.2309533791466,35,90.5698248340952,7,1793.8956462496262
56,1369,javascript,adaptive,10,4,low,4,senior,2.3925886275146393,high,16.159795595802116,32,83.30215348167977,2,1732.064147054151
7,3033,python,adaptive,3,5,medium,9,junior,2.805278218554009,medium,11.835410132658753,32,62.840271208903545,1,2414.4854802291634
3,5911,javascript,corrective,10,3,medium,2,junior,8.204690163608534,high,76.06797612209661,81,95.68448062764325,9,3224.0700714817494
23,38419,python,corrective,10,5,medium,6,expert,5.84319731762709,high,92.75035512965756,22,61.231324089505605,6,9252.269087410872
18,39788,javascript,corrective,3,4,low,7,junior,5.085274317735725,high,45.828321638627315,59,89.93585424838972,6,9823.522522332089
